"school_id","school_name","activity_name","alg","level_of_play","event_date","event_time","score","event_name","location","source_activity_url","matchup_link","address"
"26","Camdenton High School","Golf Girls","24","Varsity","9/23","","","California/Camdenton/Lebanon Tri","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=26&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=26&alg=24&tournament=568364","367 C.C. Blair Dr. Camdenton, MO 65020"
"26","Camdenton High School","Softball Fall Season","38","Varsity","9/23","4:30 pm","","Kickapoo","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=26&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=26&alg=38&comp=2650268","662 Laker Pride Road, Camdenton, MO 65020-1409"
"1540","Capital City High School","Softball Fall Season","38","Varsity","9/23","5:00 pm","","Bowling Green","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=1540&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=1540&alg=38&comp=2623143","1650 Cavalier Drive, Jefferson City, MO 65109"
"53","Centralia High School","Golf Girls","24","Varsity","9/23","","","Salisbury Invitational","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=53&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=53&alg=24&tournament=552260",""
"566","Columbia Independent","Golf Girls","24","Varsity","9/23","","","Salisbury Invitational","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=566&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=566&alg=24&tournament=585493",""
"566","Columbia Independent","Tennis Girls","49","Varsity","9/23","4:30 pm","","Mexico","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=566&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=566&alg=49&comp=2766276","1801 North Stadium Boulevard, Columbia, MO 65202"
"278","Eldon High School","Volleyball Girls","57","Varsity","9/23","7:15 pm","","Father Tolton","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=278&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=278&alg=57&comp=2623026","112 S Pine St, Eldon, MO 65026-1594"
"917","Father Tolton","Golf Girls","24","Varsity","9/23","","","Salisbury Invitational","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=917&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=917&alg=24&tournament=589386",""
"917","Father Tolton","Softball Fall Season","38","Varsity","9/23","5:00 pm","","Smith-Cotton","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=917&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=917&alg=38&comp=2679870","2010 Tiger Pride Blvd, Sedalia, MO 65301-8503"
"917","Father Tolton","Tennis Girls","49","Varsity","9/23","4:00 pm","","Palmyra","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=917&alg=49","https://www.mshsaa.org/MySchool/Matchup.aspx?s=917&alg=49&comp=2765832","1703 S Main St, Palmyra, MO 63461"
